Name	Category
Massage Therapy	Wellness
Counseling	Wellness
Nutritionist	Wellness
Alternative Healing	Wellness
Therapy	Wellness
Life Coaching	Wellness
Qigong Lessons	Wellness
Massage Training	Wellness
Acupuncture Services	Wellness
Physical Therapy	Wellness
Psychology	Wellness
Family Counseling	Wellness
Marriage Counseling	Wellness
Reiki Healing	Wellness
Personal Training	Sports_Fitness
Capoeira Training	Sports_Fitness
Cycling Training	Sports_Fitness
Pilates Training	Sports_Fitness
Swimming Lessons	Sports_Fitness
Tai Chi Lessons	Sports_Fitness
Water Aerobics Lessons	Sports_Fitness
Yoga Lessons	Sports_Fitness
Martial Arts Training	Sports_Fitness
Climbing Lessons	Sports_Fitness
Badminton Lessons	Sports_Fitness
Baseball Lessons	Sports_Fitness
Basketball Lessons	Sports_Fitness
Fencing Lessons	Sports_Fitness
Football Lessons	Sports_Fitness
Golf Lessons	Sports_Fitness
Gymnastics Lessons	Sports_Fitness
Horseback Riding Lessons	Sports_Fitness
Ice Skating Lessons	Sports_Fitness
Kayaking Lessons	Sports_Fitness
Paragliding Lessons	Sports_Fitness
Racquetball Lessons	Sports_Fitness
Rowing and Crew Lessons	Sports_Fitness
Running and Jogging Lessons	Sports_Fitness
Sailing Lessons	Sports_Fitness
Scuba Diving Lessons	Sports_Fitness
Skateboarding Lessons	Sports_Fitness
Skating Lessons	Sports_Fitness
Skiing Lessons	Sports_Fitness
Soccer Lessons	Sports_Fitness
Softball Lessons	Sports_Fitness
Surfing Lessons	Sports_Fitness
Table Tennis Lessons	Sports_Fitness
Tennis Instruction	Sports_Fitness
Triathlon Training	Sports_Fitness
Volleyball Lessons	Sports_Fitness
Wakeboarding Lessons	Sports_Fitness
Waterskiing Lessons	Sports_Fitness
Zumba Lessons	Sports_Fitness
