city,state,longitude,latitude
AARONSBURG,PA,40.8987,-77.4562
ABBEVILLE,AL,31.5594,-85.223
ABBEVILLE,GA,31.977,-83.3725
ABBEVILLE,LA,29.9726,-92.1267
ABBEVILLE,MS,34.4719,-89.4475
ABBEVILLE,SC,34.2157,-82.4463
ABBOT,ME,45.1841,-69.2334
ABBOTSFORD,WI,44.9602,-90.3749
ABBOTT,TX,31.8845,-97.0772
ABBOTTSTOWN,PA,39.8969,-76.9947
ABBYVILLE,KS,38.0137,-98.1695
ABELL,MD,38.2472,-76.7481
ABERCROMBIE,ND,46.4479,-96.7278
ABERDEEN,ID,43.0049,-112.84
ABERDEEN,KY,37.2796,-86.6702
ABERDEEN,MD,39.4999,-76.2312
ABERDEEN,MS,33.8476,-88.5147
ABERDEEN,NC,35.2038,-79.5178
ABERDEEN,OH,38.6935,-83.7408
ABERDEEN,SD,45.4592,-98.4688
ABERDEEN,WA,47.0027,-123.671
ABERDEEN PROVING GROUND,MD,39.4771,-76.1208
ABERNANT,AL,33.311,-87.1898
ABERNATHY,TX,33.9494,-101.818
ABIE,NE,41.332,-96.9494
ABILENE,KS,38.9111,-97.1953
ABILENE,TX,32.4509,-99.7639
ABINGDON,IL,40.928,-90.304
ABINGDON,MD,39.4726,-76.2773
ABINGDON,VA,36.7116,-81.9719
ABINGTON,CT,41.8473,-72.0253
ABINGTON,MA,42.1175,-70.9599
ABINGTON,PA,40.1238,-75.1148
ABIQUIU,NM,36.2199,-106.263
ABITA SPRINGS,LA,30.4775,-89.9553
ABRAMS,WI,44.7923,-88.0441
ABSARAKA,ND,46.8597,-97.2146
ABSAROKEE,MT,45.5156,-109.455
ABSECON,NJ,39.4253,-74.4983
ACAMPO,CA,38.1987,-121.23
ACCIDENT,MD,39.5894,-79.231
ACCOKEEK,MD,38.6661,-76.9984
ACCOMAC,VA,37.7129,-75.6611
ACCORD,MA,41.9705,-70.7014
ACCORD,NY,41.9491,-74.1307
ACCOVILLE,WV,37.8332,-81.9024
ACE,TX,30.5209,-94.8221
ACHILLE,OK,33.9244,-96.2644
ACHILLES,VA,37.2882,-76.426
ACKERLY,TX,32.5273,-101.716
ACKERMAN,MS,33.2783,-89.1913
ACKERMANVILLE,PA,40.6934,-75.4712
ACKLEY,IA,42.4088,-93.0925
ACKWORTH,IA,41.3843,-93.4243
ACME,LA,31.3084,-91.8232
ACME,MI,44.7894,-85.4884
ACME,PA,40.1201,-79.4051
ACME,WA,48.6886,-122.187
ACOSTA,PA,40.113,-79.0702
ACRA,NY,42.316,-74.0655
ACTON,CA,33.7866,-118.299
ACTON,MA,42.4464,-71.4594
ACTON,ME,43.5208,-70.8046
ACTON,MT,45.9291,-108.689
ACUSHNET,MA,41.7119,-70.9083
ACWORTH,GA,34.0601,-84.6651
ACWORTH,NH,43.196,-72.3001
ADA,MI,42.9547,-85.4879
ADA,MN,47.3253,-96.5973
ADA,OH,40.676,-83.7006
ADA,OK,34.7756,-96.6653
ADAH,PA,39.9121,-79.8964
ADAIR,IA,41.4391,-94.6338
ADAIR,IL,40.3873,-90.5066
ADAIR,OK,36.4374,-95.2698
ADAIRSVILLE,GA,34.2963,-84.9092
ADAIRVILLE,KY,36.7729,-86.8604
ADAK,AK,54.2402,-176.787
ADAMANT,VT,44.1749,-72.5022
ADAMS,KY,38.0741,-82.7447
ADAMS,MA,42.3856,-73.1722
ADAMS,MN,43.5652,-92.7439
ADAMS,ND,48.3835,-97.998
ADAMS,NE,40.456,-96.5135
ADAMS,NY,43.9602,-75.9056
ADAMS,OK,36.755,-101.078
ADAMS,OR,45.7248,-118.491
ADAMS,TN,36.5568,-87.0181
ADAMS,WI,43.8921,-89.8275
ADAMS BASIN,NY,43.1953,-77.8559
ADAMS CENTER,NY,43.8319,-76.0072
ADAMS RUN,SC,32.779,-80.3288
ADAMSBURG,PA,40.3038,-79.6531
ADAMSTOWN,MD,39.291,-77.4552
ADAMSTOWN,PA,40.2423,-76.0577
ADAMSVILLE,AL,33.5781,-86.9872
ADAMSVILLE,OH,40.0908,-81.8552
ADAMSVILLE,PA,41.6294,-80.214
ADAMSVILLE,RI,41.5301,-71.2841
ADAMSVILLE,TN,35.2711,-88.4475
ADDIEVILLE,IL,38.3815,-89.5795
ADDINGTON,OK,34.0697,-97.838
ADDIS,LA,30.363,-91.2631
ADDISON,AL,34.2299,-87.3585
ADDISON,IL,41.8876,-88.0225
ADDISON,ME,45.003,-67.4955
ADDISON,MI,41.9853,-84.3145
ADDISON,NY,42.2064,-77.3062
ADDISON,PA,39.7524,-79.3308
ADDISON,TX,32.7673,-96.7776
ADDY,WA,48.3364,-117.958
ADDYSTON,OH,39.1352,-84.7098
ADEL,GA,31.1517,-83.4071
ADEL,IA,41.6176,-94.0345
ADEL,OR,42.8053,-120.355
ADELANTO,CA,34.84,-115.967
ADELL,WI,43.6585,-87.9737
ADELPHI,OH,39.4665,-82.7547
ADELPHIA,NJ,40.3027,-74.2493
ADENA,OH,40.2606,-80.7894
ADGER,AL,33.4377,-87.2076
ADIN,CA,41.2367,-120.933
ADIRONDACK,NY,43.7083,-73.7941
ADJUNTAS,PR,18.1653,-66.7226
ADKINS,TX,29.3687,-98.2538
ADMIRE,KS,38.6084,-96.1083
ADNA,WA,46.5713,-123.298
ADOLPH,MN,47.6404,-92.4428
ADOLPHUS,KY,36.6793,-86.176
ADONA,AR,34.9438,-92.9232
ADRIAN,GA,32.5689,-82.5403
ADRIAN,IL,40.4161,-91.2058
ADRIAN,MI,41.8899,-84.0659
ADRIAN,MN,43.6208,-95.9532
ADRIAN,MO,38.397,-94.3804
ADRIAN,OH,41.0907,-83.3654
ADRIAN,OR,43.7852,-117.368
ADRIAN,PA,40.8557,-79.5451
ADRIAN,TX,35.4053,-102.603
ADRIAN,WV,38.8993,-80.2269
ADVANCE,IN,39.9956,-86.6198
ADVANCE,MO,37.0012,-90.0333
ADVANCE,NC,35.9454,-80.4487
ADVENT,WV,38.8249,-81.7066
AFTON,IA,41.0336,-94.1971
AFTON,MI,45.3665,-84.4299
AFTON,MN,44.9072,-92.8162
AFTON,NY,42.2551,-75.5333
AFTON,OK,36.8222,-94.9162
AFTON,TN,36.2274,-82.734
AFTON,TX,33.6164,-100.779
AFTON,VA,37.9728,-78.8223
AFTON,WI,42.6055,-89.0704
AFTON,WY,42.7113,-110.62
AGANA HEIGHTS,GU,13.4443,144.786
AGAR,SD,44.8026,-100.159
AGAT,GU,13.4443,144.786
AGATE,CO,39.3823,-104.085
AGATE,ND,48.7709,-99.7727
AGAWAM,MA,42.1405,-72.7887
AGENCY,IA,40.979,-92.4262
AGENCY,MO,39.6311,-94.714
AGENDA,KS,39.7044,-97.4465
AGES BROOKSIDE,KY,36.8654,-83.2879
AGNESS,OR,42.6569,-124.133
AGOURA HILLS,CA,34.1462,-118.761
AGRA,KS,39.7609,-99.1196
AGRA,OK,35.909,-96.8738
AGUA DULCE,TX,27.8361,-97.5304
AGUADA,PR,18.3931,-67.181
AGUADILLA,PR,18.4343,-67.1551
AGUANGA,CA,33.5192,-116.803
AGUAS BUENAS,PR,18.2504,-66.1284
AGUILA,AZ,33.2765,-112.187
AGUILAR,CO,37.3816,-104.654
AGUIRRE,PR,17.9923,-66.1393
AH GWAH CHING,MN,46.8623,-94.6419
AHMEEK,MI,47.2933,-88.3897
AHOSKIE,NC,36.3393,-76.9905
AHSAHKA,ID,46.5074,-116.296
AHWAHNEE,CA,37.379,-119.736
AIBONITO,PR,18.1281,-66.2687
AIEA,HI,21.3906,-157.928
AIKEN,SC,33.5375,-81.7242
AIKEN,TX,34.0715,-101.303
AILEY,GA,32.1797,-82.5166
AIMWELL,LA,31.5963,-91.7794
AINSWORTH,IA,41.3511,-91.5812
AINSWORTH,NE,42.5427,-99.8524
AIRVILLE,PA,39.8213,-76.4059
AIRWAY HEIGHTS,WA,47.6438,-117.592
AITKIN,MN,46.5636,-93.4305
AJO,AZ,31.9701,-111.891
AKASKA,SD,45.2907,-99.9918
AKELEY,MN,46.9876,-94.7264
AKERS,LA,30.6124,-90.4053
AKIACHAK,AK,60.3147,-163.119
AKIAK,AK,60.3147,-163.119
AKIN,IL,37.9943,-88.9417
AKRON,AL,32.8553,-87.7219
AKRON,CO,40.0733,-103.202
AKRON,IA,42.8225,-96.463
AKRON,IN,41.0479,-86.0692
AKRON,MI,43.5821,-83.5461
AKRON,NY,43.0138,-78.5253
AKRON,OH,41.0848,-81.5156
AKRON,PA,40.1299,-76.3611
AKUTAN,AK,55.4306,-162.558
ALABAMA,NY,42.9981,-78.1848
ALABASTER,AL,33.1934,-86.7944
ALACHUA,FL,29.7842,-82.4733
ALADDIN,WY,44.7382,-104.289
ALAKANUK,AK,62.1172,-163.238
ALAMANCE,NC,36.0318,-79.4856
ALAMEDA,CA,37.7763,-122.277
ALAMO,CA,37.9367,-122.067
ALAMO,GA,32.143,-82.8268
ALAMO,IN,39.9623,-87.0506
ALAMO,ND,48.5387,-103.473
ALAMO,NV,37.4725,-115.144
ALAMO,TN,35.8061,-89.0866
ALAMO,TX,26.2217,-98.2189
ALAMOGORDO,NM,32.8811,-105.96
ALAMOSA,CO,37.4682,-105.874
ALANREED,TX,35.4328,-100.747
ALANSON,MI,45.5398,-84.8058
ALAPAHA,GA,31.384,-83.2214
ALBA,MI,44.9833,-84.9618
ALBA,MO,37.2367,-94.418
ALBA,PA,41.772,-76.5213
ALBA,TX,32.8159,-95.7056
ALBANY,CA,37.8895,-122.298
ALBANY,GA,31.5769,-84.1762
ALBANY,IL,41.7296,-90.1597
ALBANY,IN,40.278,-85.2741
ALBANY,KY,36.7457,-85.182
ALBANY,LA,30.527,-90.7422
ALBANY,MN,45.6147,-94.4942
ALBANY,MO,40.2566,-94.3309
ALBANY,NY,42.6517,-73.7551
ALBANY,OH,39.2408,-82.1771
ALBANY,OK,33.922,-96.1918
ALBANY,OR,44.5945,-122.582
ALBANY,TX,32.7682,-99.2102
ALBANY,VT,44.7417,-72.3646
ALBANY,WI,42.7128,-89.4512
ALBEMARLE,NC,35.3626,-80.1943
ALBERS,IL,38.5143,-89.6272
ALBERT,KS,38.4205,-98.9134
ALBERT,OK,35.2032,-98.3574
ALBERT CITY,IA,42.735,-95.1511
ALBERT LEA,MN,43.6863,-93.3898
ALBERTA,AL,32.1456,-87.3549
ALBERTA,MN,45.586,-96.0008
ALBERTA,VA,36.8581,-77.8946
ALBERTON,MT,46.9893,-114.558
ALBERTSON,NC,35.1037,-77.825
ALBERTSON,NY,40.7548,-73.6018
ALBERTVILLE,AL,34.2637,-86.211
ALBERTVILLE,MN,45.2587,-93.6643
ALBIA,IA,41,-92.8352
ALBIN,WY,41.3355,-104.249
ALBION,CA,39.168,-123.393
ALBION,IA,42.1439,-92.9619
ALBION,ID,42.3393,-113.461
ALBION,IL,38.3288,-88.0642
ALBION,IN,41.376,-85.4139
ALBION,ME,44.5304,-69.64
ALBION,MI,42.2906,-84.7929
ALBION,NE,41.6487,-98.0111
ALBION,NY,43.2351,-78.1943
ALBION,OK,34.4188,-95.3584
ALBION,PA,41.8909,-80.3663
ALBION,RI,41.9541,-71.4621
ALBION,WA,46.9344,-117.412
ALBORN,MN,47.0149,-92.6123
ALBRIGHT,WV,39.5164,-79.6177
ALBRIGHTSVILLE,PA,41.0126,-75.5608
ALBUQUERQUE,NM,35.0813,-106.627
ALBURG,VT,44.9361,-73.2891
ALBURNETT,IA,42.1571,-91.6458
ALBURTIS,PA,40.5145,-75.6029
ALCALDE,NM,36.0647,-106.078
ALCESTER,SD,42.9317,-96.6243
ALCO,AR,35.919,-92.1272
ALCOA,TN,35.8158,-83.9877
ALCOLU,SC,33.6852,-80.1907
ALCOVA,WY,42.5302,-106.76
ALCOVE,NY,42.4825,-73.9367
ALDA,NE,40.8607,-98.5048
ALDEN,IA,42.431,-93.3906
ALDEN,IL,42.3248,-88.4525
ALDEN,KS,38.2333,-98.3165
ALDEN,MI,44.9006,-85.2329
ALDEN,MN,43.7335,-93.5321
ALDEN,NY,42.8729,-78.5284
ALDENVILLE,PA,41.616,-75.2747
ALDER,MT,45.1939,-112.057
ALDER CREEK,NY,43.4196,-75.2248
ALDERPOINT,CA,40.1305,-123.602
ALDERSON,OK,34.9045,-95.6981
ALDERSON,WV,37.8439,-80.5724
ALDIE,VA,38.9577,-77.6038
ALDRICH,MN,46.3797,-94.9364
ALDRICH,MO,37.5348,-93.5432
ALEDO,IL,41.1978,-90.7309
ALEDO,TX,32.6819,-97.7795
ALEKNAGIK,AK,58.9621,-163.119
ALEPPO,PA,39.8706,-80.2113
ALEX,OK,34.9148,-97.7812
ALEXANDER,AR,34.6945,-92.4251
ALEXANDER,IA,42.8198,-93.4294
